Textbox46
Quantidade de registros: 612

dsArea1,anoAplicacao1,notaFinalPonderada1,dsQuestao1,dsQuestao_Abrev1,notafinal_Questao1,dsItemVerificacao1,dsItemVerificacao_Abrev1,notaFinal_ItemVerificacao1,dsQuestaoAuxiliar1,notaFinal_QuestaoAuxiliar,nmEntidadeVinculada,dsTipoResposta
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",O Plano Municipal de Educação foi elaborado e publicizado de modo a contribuir com o atingimento das metas decenais estabelecidas no Plano Nacional de Educação?,Plano Municipal de Educação (PME),"8,00",O Plano Municipal de Educação contempla meta de oferta da educação infantil em creches para crianças de até 3 anos de idade em consonância com a Meta 1 do Plano Nacional de Educação?,"10,00",SECRETARIA MUNICIPAL DE EDUCAÇÃO,SIM
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",O Plano Municipal de Educação foi elaborado e publicizado de modo a contribuir com o atingimento das metas decenais estabelecidas no Plano Nacional de Educação?,Plano Municipal de Educação (PME),"8,00",O Plano Municipal de Educação está disponível para consulta no site oficial do Município?,"0,00",SECRETARIA MUNICIPAL DE EDUCAÇÃO,NÃO
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",O Município dispõe de processo estabelecido para avaliação do Plano Municipal de Educação?,Avaliação do PME,"8,30",O Plano Municipal de Educação sofreu atualização nos últimos 4 anos de modo a se adequar às novas dinâmicas e necessidades educacionais e sociais identificadas nos processos de avaliação do plano?,"10,00",SECRETARIA MUNICIPAL DE EDUCAÇÃO,SIM
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",O Município dispõe de processo estabelecido para avaliação do Plano Municipal de Educação?,Avaliação do PME,"8,30",O Município realizou a avaliação do Plano Municipal de Educação nos últimos 4 anos?,"10,00",SECRETARIA MUNICIPAL DE EDUCAÇÃO,SIM
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",As unidades educacionais da rede municipal de ensino dispõem de Projeto Político-Pedagógico elaborado ou atualizado à luz da Base Nacional Comum Curricular e do Referencial Curricular do Paraná?,Projeto Político-Pedagógico,"10,00","O Projeto Político-Pedagógico da unidade educacional contém Proposta Pedagógica Curricular para os anos iniciais do ensino fundamental definida e organizada de modo a explicitar e garantir os direitos de aprendizagem especificados na Base Nacional Comum Curricular, no Referencial Curricular do Paraná e na proposta curricular da rede de ensino?","10,00",BOSCO E M DOM EI EF,SIM
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",As unidades educacionais da rede municipal de ensino dispõem de Projeto Político-Pedagógico elaborado ou atualizado à luz da Base Nacional Comum Curricular e do Referencial Curricular do Paraná?,Projeto Político-Pedagógico,"10,00","O Projeto Político-Pedagógico da unidade educacional foi elaborado ou atualizado à luz das orientações trazidas pela Base Nacional Comum Curricular e pelo Referencial Curricular do Paraná: Princípios, Direitos e Orientações?","10,00",BOSCO E M DOM EI EF,SIM
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",O Município dispõe de processo estabelecido para monitoramento do Plano Municipal de Educação?,Monitoramento do PME,"8,00",O relatório de monitoramento das metas do PME referente ao ano de 2021 está disponível no site oficial do Município?,"0,00",SECRETARIA MUNICIPAL DE EDUCAÇÃO,NÃO
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",As unidades educacionais da rede municipal de ensino dispõem de Projeto Político-Pedagógico elaborado ou atualizado à luz da Base Nacional Comum Curricular e do Referencial Curricular do Paraná?,Projeto Político-Pedagógico,"10,00",O Projeto Político-Pedagógico da unidade educacional foi elaborado ou atualizado envolvendo a participação da comunidade escolar?,"10,00",ANJO DA GUARDA C M E I,SIM
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",O Município dispõe de processo estabelecido para monitoramento do Plano Municipal de Educação?,Monitoramento do PME,"8,00",O relatório de monitoramento das metas do PME referente ao ano de 2021 contempla o monitoramento da situação da meta de universalização da educação infantil para crianças de 4 a 5 anos de idade?,"10,00",SECRETARIA MUNICIPAL DE EDUCAÇÃO,SIM
Educação,2022,"4,86",O Município dispõe de instrumentos de planejamento educacional que contribuam para a melhoria do processo de ensino e aprendizagem e para a ampliação do acesso e permanência dos estudantes na escola?,Instrumentos de planejamento,"8,60",O Município dispõe de processo estabelecido para monitoramento do Plano Municipal de Educação?,Monitoramento do PME,"8,00",O relatório de monitoramento das metas do PME referente ao ano de 2021 contempla o monitoramento da situação da meta de expansão da oferta de educação infantil em creches para crianças de até 3 anos de idade?,"10,00",SECRETARIA MUNICIPAL DE EDUCAÇÃO,SIM
